ACURA,ILX,2013,PREMIUM L4 2.0 AUT 4OCP,bd8e92d6-715b-4551-8ff2-fbdb69a56cc2
ACURA,ILX,2013,TECH L4 2.0 AUT 4OCUP,1b5c91c6-2db7-410e-a2b2-c81f2dfd380d
ACURA,ILX,2014,LUXURY L4 AUT 4 ABS CA CE PIEL CD CQ CB,2f63c974-69c0-4376-b2d5-74cf05b9a7c9
ACURA,ILX,2014,PREMIUM L4 2.0 AUT 4OCP,6ca4cfc3-1e7f-4c20-9f13-3b33abeb2e19
ACURA,ILX,2014,TECH L4 2.0 AUT 4OCUP,897c971f-8510-4957-89ce-0f1d3d7bfbae
ACURA,ILX,2015,PREMIUM L4 2.0 AUT 4OCP,21039e23-c1a4-48e2-b769-d03c1c80e754
ACURA,ILX,2015,TECH L4 2.0 AUT 4OCUP,9b79fe99-6bf5-4263-8a0f-f0f2e9d70698
ACURA,ILX,2015,V6 3.5 AUT 310 4 PTAS,91145767-bc60-4ddb-a38d-005c84b433d5
ACURA,ILX,2016,A-SPEC SEDAN AUT AA EE CD BA QC VP ABS 2L 4CIL 4PTAS 5OCUP,ed64cf0a-6cf3-434d-baf9-f3cb042283bb
ACURA,ILX,2016,TECH SEDAN AUT AA EE CD BA QC VP ABS 2L 4CIL 4PTAS 5OCUP,beaf2e54-d726-4e87-b975-bcc2776c1586
ACURA,ILX,2017,ILX A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2,ecc666f1-03fd-476d-9906-44a6a1df435e
ACURA,ILX,2017,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL,5ce7b219-89a8-4bef-ab80-39a528d391e7
ACURA,ILX,2018,ILX A SPECAUT 4 P PIEL 4 CIL,6b069b7b-2c73-48e7-8784-91c8b0dbe605
ACURA,ILX,2019,ACURA ILX ASPEC 2.4L,a210dec8-7141-487f-a269-f2b0a35e5817
ACURA,ILX,2020,A SPEC L4 IOM AUT 4 ABS CA CE PIEL SM QC CB,eabb05ac-c6a8-40c7-85bd-616880077b68
ACURA,ILX,2020,TECH L4 IOM AUT 4 ABS CA CE PIEL CD QC CB,f17d8c78-acb5-4771-aa92-bab638c6ea07
ACURA,MDX,2007,V6 AUTOMATICO AWD 5 OCP,d5452342-9a70-4803-ad56-888ba757ba50
ACURA,MDX,2008,V6 AUTOMATICO AWD 5 OCP,b46e7c35-a928-4f45-afb5-83b2d1d846da
ACURA,MDX,2009,V6 AUTOMATICO AWD 5 OCP,0e5754d9-9368-4bd0-9dae-f36a138631fe
ACURA,MDX,2010,V6 3.7 AUTOMATICO AWD 5 OCUP,64f1550f-c1a4-46b1-9cc7-9649a9cfbd56
ACURA,MDX,2011,V6 3.7 AUTOMATICO AWD 5 OCUP,a3d1b8ed-6876-4c56-a38c-4d7640a28085
ACURA,MDX,2012,V6 3.7 AUTOMATICO AWD 5 OCUP,f86f72a8-00a7-4de2-9add-f4cc455a4405
ACURA,MDX,2013,V6 3.7 AUTOMATICO AWD 5 OCUP,1b4f847a-5d90-4ad4-972b-d1780b215ecb
ACURA,MDX,2014,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,890bf950-c91f-4c40-8f0c-fb34cd5b4b25
ACURA,MDX,2014,TECH SUV AUT AA EE CD BA QC VP ABS 3.5L 6CIL 5P 7OCUP,86c25b0b-6c47-41f5-8e75-c66ca5382241
ACURA,MDX,2014,V6 3.5 AUTOMATICO AWD 5 OCUP,d3767577-c101-4fbf-9144-a9381eb8312b
ACURA,MDX,2015,V6 3.5 AUTOMATICO AWD 4PTAS 5OCUP,8785cef4-3f27-4fe8-8ba1-5c04aa8b2d06
ACURA,MDX,2016,SH AWD SUV AUT AA EE CD BA QC VP ABS 3.5L 6CIL 5PTAS 7OCUP,b9a3489b-4699-4540-986f-c0a689f8a7c1
ACURA,MDX,2017,SH AWD SUV AUT AA EE CD BA QC VP ABS 5PTAS 7OCUP,5fcf567e-717f-4931-8a37-442fadd5aad6
ACURA,MDX,2018,MDX SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5,4784505f-a612-4609-bc4a-78dea6570ef9
ACURA,MDX,2019,A-SPEC 5P V6 3.5L AWD ABS BA QC AC R20 NAVI AUT 7,290481c9-92ff-49f5-a19f-04ff3686f3b1
